Ordem_Sorteio,Marca,Modelo,Ano,Cor,Nota_Confianca_Marca,Nota_Confianca_Modelo,Nota_Aparencia,Perfil_Rodagem,Quilometragem_Estimada,Dias_para_Venda
1,Ford,Fiesta,2014,Azul,2.8,2.0,4.91,Pouco Rodado,90181,21
2,Renault,Sandero,2018,Branco,3.2,2.6,4.75,Pouco Rodado,59711,5
3,Chevrolet,Onix,2018,Preto,4.3,4.2,4.89,Pouco Rodado,56972,9
4,Fiat,Uno,2014,Branco,3.6,4.3,4.92,Super Alto,280601,37
5,Volkswagen,Nivus,2022,Cinza,4.0,3.0,4.99,Alto,69508,36
6,Ford,Ka,2021,Preto,2.8,3.8,4.84,Super Alto,109784,41
7,Fiat,Strada,2014,Preto,3.6,4.4,3.45,Pouco Rodado,93969,19
8,Fiat,Argo,2023,Branco,3.6,3.4,4.66,Pouco Rodado,20405,11
9,Volkswagen,Gol,2012,Vermelho,4.0,4.4,4.06,Normal,164670,22
10,Fiat,Argo,2017,Prata,3.6,3.4,4.65,Alto,158705,34
11,Fiat,Argo,2023,Branco,3.6,3.4,4.97,Pouco Rodado,22851,18
12,Renault,Sandero,2012,Branco,3.2,2.6,4.7,Pouco Rodado,108925,16
13,Fiat,Strada,2017,Marrom,3.6,4.4,4.36,Normal,105825,17
14,Toyota,Corolla Cross,2024,Branco,5.0,4.7,4.96,Super Alto,42277,45
15,Renault,Kwid,2019,Prata,3.2,2.7,4.22,Normal,76434,22
16,Toyota,Corolla,2022,Preto,5.0,5.0,4.62,Super Alto,98240,31
17,Hyundai,Creta,2025,Branco,4.5,3.6,4.99,Normal,3165,5
18,Ford,Ka,2015,Cinza,2.8,3.8,3.74,Super Alto,251814,44
19,Toyota,Corolla,2019,Branco,5.0,5.0,4.98,Normal,72627,14
20,Toyota,Hilux,2012,Branco,5.0,4.9,4.54,Pouco Rodado,109562,5
21,Jeep,Renegade,2022,Branco,2.5,2.4,4.89,Normal,43375,15
22,Renault,Duster,2016,Preto,3.2,3.2,4.56,Normal,117602,19
23,Chevrolet,Onix,2021,Prata,4.3,4.2,4.85,Normal,57734,6
24,Volkswagen,T-Cross,2023,Preto,4.0,3.1,4.88,Normal,30657,29
25,Chevrolet,Onix,2024,Preto,4.3,4.2,4.9,Normal,15421,20
26,Renault,Sandero,2016,Preto,3.2,2.6,4.72,Super Alto,246186,49
27,Renault,Kwid,2021,Cinza,3.2,2.7,4.99,Pouco Rodado,39122,8
28,Renault,Sandero,2010,Prata,3.2,2.6,4.5,Normal,180244,13
29,Jeep,Renegade,2023,Prata,2.5,2.4,4.94,Super Alto,57118,39
30,Toyota,Corolla,2016,Preto,5.0,5.0,4.9,Normal,119071,9
31,Jeep,Renegade,2020,Azul,2.5,2.4,4.81,Super Alto,143684,43
32,Toyota,Hilux,2022,Branco,5.0,4.9,4.86,Normal,40401,5
33,Chevrolet,Prisma/Joy Plus,2018,Azul,4.3,3.2,4.36,Pouco Rodado,56984,15
34,Jeep,Compass,2020,Cinza,2.5,2.3,4.54,Alto,103060,40
35,Volkswagen,Saveiro,2010,Prata,4.0,4.0,4.02,Normal,188995,9
36,Jeep,Renegade,2018,Vermelho,2.5,2.4,4.76,Normal,95518,30
37,Ford,Ka,2017,Branco,2.8,3.8,4.96,Alto,150482,33
38,Volkswagen,Gol,2010,Cinza,4.0,4.4,3.75,Normal,184785,23
39,Fiat,Toro,2020,Branco,3.6,2.9,4.5,Normal,70304,14
40,Fiat,Mobi,2019,Branco,3.6,3.5,4.98,Alto,123853,36
41,Honda,HR-V,2016,Branco,4.8,3.9,4.41,Super Alto,241296,43
